Date,Amperex_Share_Price,EVA_Share_Price,GSCPI,Strattec_Share_Price,Aluminum_Spot_Rate,EVgo_Share_Price,Cobalt_Spot_Rate,Yusei_Share_Price,Ganfeng_Lithium_Share_Price,FlexQube_Share_Price,Panasonic_Share_Price,JinFu_Share_Price,Manufacturing_PMI,Suprajit_Share_Price,Kongsberg_Share_Price,Ayvens_Share_Price,Magna_Share_Price,Copper_Spot_Rate,Pirelli_Share_Price,Samsung_Share_Price,EXEL_Share_Price,Piedmont_Lithium_Share_Price,WTI_Oil_Price,China_GDP,Brent_Oil_Price,PHA_Share_Price,Core_Lithium_Share_Price,EUR_USD_Rate,Consumer_Confidence_Index,Liontown_Share_Price,Unemployment_Rate,Lithium_Spot_Rate,Nickel_Spot_Rate,TSLA_Share_Price
2021-01-04,34.74640510129854,0.0773833091940399,1.3359722293354428,47.75,2028.25,10.53,33000.0,0.1418694001890732,12.306617294268776,3.4998772612488245,11.55777919987589,1.931559641547105,53.6,2.764094555438608,0.4061705143616977,13.94036078046386,69.83985067369379,7844.0,5.349122591729047,165.860400829302,76.08295496379924,0.2841563627985561,47.47,255055.2,50.37,8.891960377793135,0.1305583288533906,1.2254,99.05231,0.3187159204362184,6.4,8450.0,17349.5,243.256666
2021-01-05,34.58617874343766,0.0735163244933177,1.3359722293354428,48.75,2036.5,10.59,34000.0,0.141873608671315,13.108087900515692,3.4145050613940207,11.977184461294376,1.9032722654979632,53.6,2.7340369833182736,0.4491723822480489,13.827827581972246,72.51101806097839,7994.5,5.265872528552131,165.5157193956837,75.4021859265627,0.3094298754544751,49.78,255055.2,53.16,8.717161221506009,0.1547149377272375,1.2295,99.05231,0.3326371161135608,6.4,8450.0,17628.75,245.036666
2021-01-06,34.98248146256134,0.0748065669847665,1.3359722293354428,50.6,2031.0,10.55,35500.0,0.1418745235917986,13.362656852273256,3.4145050613940207,12.017183992569084,1.8715459991640733,53.6,2.9897103111513323,0.490556054481974,14.048876335502886,75.13094159807821,8030.5,5.27201277170576,161.74240683729263,74.91096647427239,0.3188180404354587,50.45,255055.2,53.8,8.757983733860222,0.1866251944012441,1.229,99.05231,0.3343701399688958,6.4,8450.0,17719.75,251.993333
2021-01-07,35.44422124440327,0.0773846066540443,1.3359722293354428,50.03,2028.25,10.98,36500.0,0.141871778865748,13.89532175389841,3.538859730582948,12.275936467574,1.736915238536359,53.6,2.950523251539256,0.4665705464151731,14.329530119003802,74.31560730018879,8167.0,5.447184394552816,166.31028747921124,74.101337259232,0.3064153285237763,50.63,255055.2,53.7,8.818100407551585,0.1629043518734,1.2265,99.05231,0.3413234039252192,6.4,8450.0,18057.0,272.013333
2021-01-08,34.71953974507532,0.0992790023620666,1.3359722293354428,48.73,2024.0,10.83,36500.0,0.1289337693013852,13.64785059868675,3.77460034896789,12.409061164786944,1.735032831208961,53.6,2.952833765688208,0.4749454406425062,14.474650991917708,75.71896041784659,8118.0,5.444526083761939,176.47005038082784,76.41440117560617,0.3651336233685519,52.14,255055.2,55.51,9.143525926467763,0.1747980111870727,1.2252,99.05231,0.3534804226227471,6.4,8450.0,17613.5,293.34
2021-01-11,33.4362137345679,0.1108857580137524,1.3359722293354428,47.15,2008.55,11.5,37000.0,0.1469880978321834,13.91644598765432,3.7986132047030448,12.409061164786944,1.6975308641975309,53.6,2.936850569614311,0.4521929012743405,14.436748086037188,74.59335122405389,7849.75,5.337222019686475,175.86863615239517,75.10025519504192,0.3464736680012319,52.15,255055.2,54.84,9.294611858831248,0.16938712657838,1.2169,99.05231,0.3272251308900523,6.4,8450.0,17032.5,270.396666
2021-01-12,34.482195284215734,0.1147611163548774,1.3359722293354428,48.94,2018.35,11.89,37000.0,0.1482868357394484,15.24076213757465,3.7757835957281776,12.406411979266654,1.726645418819816,53.6,2.999014434036697,0.4239039558106546,15.00851374361469,75.78061320458963,7964.5,5.516905862320602,175.65255378790638,75.65069326198005,0.3360630407911001,53.08,255055.2,55.98,9.101168590046962,0.1622373300370828,1.2168,99.05231,0.3090234857849196,6.4,8450.0,17614.35,283.146666
2021-01-13,33.06622663677824,0.1160727182682982,1.3359722293354428,49.7,2015.5,12.8,38000.0,0.1418666556612534,13.926832032155833,3.8146374115166064,12.499037795396813,1.7562031382855376,53.6,3.002610608813678,0.3573935120418651,14.657267865824016,74.91943723964474,7994.5,5.454545454545455,185.2796037656828,76.81088964511424,0.3558718861209964,52.81,255055.2,55.52,9.086439536027097,0.1701995977100417,1.2159,99.05231,0.3403991954200835,6.4,8450.0,17627.0,284.803333
2021-01-14,31.66402369331521,0.1276760381738457,1.3359722293354428,48.62,2004.75,13.1,37995.0,0.1418622646376064,13.446364450759916,3.847601321170104,12.432964234731278,1.76232546645249,53.6,2.946876884968534,0.3775631753594826,15.061338515729382,74.35297095488198,8039.5,5.392930887890199,189.15223336371923,76.76424146726588,0.3503035964502569,53.47,255055.2,55.76,8.86052871467639,0.1673672738595671,1.2156,99.05231,0.3425190720846956,6.4,8450.0,18244.25,281.666666
2021-01-15,32.62753923792768,0.12252483707421,1.3359722293354428,46.54,1991.05,12.55,37500.0,0.1418708639806643,14.462750590305108,3.7380052427613473,12.38463168847184,1.8951494667963025,53.6,2.9098181927547784,0.3650049193771987,15.403216056099623,72.9221467551333,7937.4,5.244831338411317,182.73826258082653,76.65336718655543,0.4167953071935782,52.25,255055.2,54.8,8.542900414448564,0.1659462797159617,1.2099,99.05231,0.3357517752392713,6.4,8450.0,17971.25,275.386666
